epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,1842.92,0.70409,0.35701,0.6798,0.90161,0.97797,1,0.995,0.69629,0.97797,1,0.995,0.6965,1.04082,2.22226,1.89125,1.4102,0.000999282,0.000999282,0.000999282
45,1886.69,0.62846,0.36172,0.61148,0.80282,0.97797,1,0.995,0.69629,0.97797,1,0.995,0.6965,1.04082,2.22226,1.89125,1.4102,0.00100463,0.00100463,0.00100463
46,1927.83,0.64282,0.5171,0.58337,0.90967,0.12675,1,0.16583,0.10184,0.12675,1,0.16583,0.09238,1.05343,1.45205,16.0159,1.39975,0.00100919,0.00100919,0.00100919
47,1968.54,0.83734,0.52264,0.7041,1.08243,0.12675,1,0.16583,0.10184,0.12675,1,0.16583,0.09238,1.05343,1.45205,16.0159,1.39975,0.00101296,0.00101296,0.00101296
48,2008.95,0.73787,0.59074,0.58572,1.01176,0.02742,1,0.03373,0.02285,0.02742,1,0.03373,0.02002,1.06402,1.9379,128.561,1.77972,0.00101593,0.00101593,0.00101593
49,2050.88,0.83919,0.86862,0.76138,1.24572,0.02742,1,0.03373,0.02285,0.02742,1,0.03373,0.02002,1.06402,1.9379,128.561,1.77972,0.00101811,0.00101811,0.00101811
50,2095.86,0.67116,0.74306,0.56879,0.88407,0.02428,1,0.02551,0.02041,0.02428,1,0.02551,0.01787,0.8665,1.55712,156.753,1.42593,0.0010195,0.0010195,0.0010195
51,2137.53,1.33843,0.70153,0.8604,1.84108,0.02428,1,0.02551,0.02041,0.02428,1,0.02551,0.01787,0.8665,1.55712,156.753,1.42593,0.00101,0.00101,0.00101
52,2180.6,0.65928,0.51122,0.62884,0.9177,0.02287,1,0.02341,0.01909,0.02287,1,0.02341,0.01739,0.7642,1.35275,110.59,1.63004,0.0009902,0.0009902,0.0009902
53,2220.67,0.71897,0.33842,0.60944,1.00094,0.02287,1,0.02341,0.01909,0.02287,1,0.02341,0.01739,0.7642,1.35275,110.59,1.63004,0.0009704,0.0009704,0.0009704
54,2261.11,0.32911,0.23129,0.63948,0.48649,0.04612,1,0.04738,0.03699,0.04612,1,0.04738,0.03317,0.9284,1.28348,35.7306,1.75254,0.0009506,0.0009506,0.0009506
55,2303.76,0.64022,0.33685,0.53887,1.01135,0.04612,1,0.04738,0.03699,0.04612,1,0.04738,0.03317,0.9284,1.28348,35.7306,1.75254,0.0009308,0.0009308,0.0009308
56,2347.12,0.62999,0.27372,0.53075,1.03655,0.14088,1,0.15308,0.08242,0.14088,1,0.15308,0.09261,1.63254,1.161,11.1132,2.57724,0.000911,0.000911,0.000911
57,2389.51,0.67138,0.3283,0.54406,0.98015,0.14088,1,0.15308,0.08242,0.14088,1,0.15308,0.09261,1.63254,1.161,11.1132,2.57724,0.0008912,0.0008912,0.0008912
58,2432.39,0.52044,0.4438,0.53162,0.88759,0.1525,1,0.25591,0.19669,0.1525,1,0.25591,0.19435,1.37957,1.07383,7.06195,2.16496,0.0008714,0.0008714,0.0008714
59,2481.03,0.62032,0.43127,0.53461,0.9578,0.1525,1,0.25591,0.19669,0.1525,1,0.25591,0.19435,1.37957,1.07383,7.06195,2.16496,0.0008516,0.0008516,0.0008516
60,2524.43,0.50302,0.44303,0.46802,0.73239,0.18272,1,0.3475,0.26327,0.18272,1,0.3475,0.26327,1.23638,1.09285,4.83281,1.9996,0.0008318,0.0008318,0.0008318
61,2567.5,0.57257,0.40922,0.52078,0.95947,0.18272,1,0.3475,0.26327,0.18272,1,0.3475,0.26327,1.23638,1.09285,4.83281,1.9996,0.000812,0.000812,0.000812
62,2611.04,0.64287,0.33039,0.52622,0.87278,0.97327,1,0.995,0.74583,0.97327,1,0.995,0.69593,1.19192,1.14726,1.11399,2.06282,0.0007922,0.0007922,0.0007922
63,2656.84,0.57139,0.52424,0.55506,0.92952,0.97327,1,0.995,0.74583,0.97327,1,0.995,0.69593,1.19192,1.14726,1.11399,2.06282,0.0007724,0.0007724,0.0007724
64,2702.21,0.60449,0.49542,0.61635,0.84322,0.495,1,0.82833,0.67904,0.495,1,0.82833,0.64581,1.0839,1.28808,1.3093,1.98336,0.0007526,0.0007526,0.0007526
65,2744.79,0.70996,0.3501,0.54553,1.01748,0.495,1,0.82833,0.67904,0.495,1,0.82833,0.64581,1.0839,1.28808,1.3093,1.98336,0.0007328,0.0007328,0.0007328
66,2787.19,0.31711,0.16917,0.47671,0.46755,0.16186,1,0.20708,0.16165,0.16186,1,0.20708,0.15742,1.07306,1.49764,7.73267,1.7475,0.000713,0.000713,0.000713
67,2826.96,0.53938,0.59528,0.43528,1.01272,0.16186,1,0.20708,0.16165,0.16186,1,0.20708,0.15742,1.07306,1.49764,7.73267,1.7475,0.0006932,0.0006932,0.0006932
68,2867.34,0.67706,0.27204,0.56575,0.9763,0.10609,0.5,0.56167,0.48566,0.10609,0.5,0.56167,0.44272,0.90177,1.59169,6.83669,1.52666,0.0006734,0.0006734,0.0006734
69,2907.21,0.53908,0.26717,0.47429,0.94064,0.10609,0.5,0.56167,0.48566,0.10609,0.5,0.56167,0.44272,0.90177,1.59169,6.83669,1.52666,0.0006536,0.0006536,0.0006536
70,2948.62,0.6941,1.07651,0.63232,1.02496,0.03283,1,0.053,0.04378,0.03283,1,0.053,0.04044,0.87835,1.50685,30.0104,1.47778,0.0006338,0.0006338,0.0006338
71,2988.88,0.87302,0.31233,0.86097,1.4222,0.03283,1,0.053,0.04378,0.03283,1,0.053,0.04044,0.87835,1.50685,30.0104,1.47778,0.000614,0.000614,0.000614
72,3029.66,0.5587,0.26025,0.41538,0.92776,0.01526,1,0.01631,0.01288,0.01526,1,0.01631,0.01305,0.81744,1.31684,72.6938,1.41737,0.0005942,0.0005942,0.0005942
73,3070.63,0.27534,0.2032,0.45441,0.46366,0.01526,1,0.01631,0.01288,0.01526,1,0.01631,0.01305,0.81744,1.31684,72.6938,1.41737,0.0005744,0.0005744,0.0005744
74,3111.16,0.76744,0.43229,0.71607,1.19508,0.05836,0.5,0.10196,0.10196,0.05836,0.5,0.10196,0.08318,0.78025,1.21223,13.1632,1.40617,0.0005546,0.0005546,0.0005546
75,3151.07,0.60505,0.58862,0.48663,0.91076,0.05836,0.5,0.10196,0.10196,0.05836,0.5,0.10196,0.08318,0.78025,1.21223,13.1632,1.40617,0.0005348,0.0005348,0.0005348
76,3191.34,0.57507,0.32267,0.41226,0.9549,0.98066,1,0.995,0.94511,0.98066,1,0.995,0.82086,0.75211,1.11396,0.83616,1.38173,0.000515,0.000515,0.000515
77,3231.46,0.63092,0.50651,0.45789,0.94469,0.98066,1,0.995,0.94511,0.98066,1,0.995,0.82086,0.75211,1.11396,0.83616,1.38173,0.0004952,0.0004952,0.0004952
78,3272.54,0.56281,0.6585,0.67331,1.26378,0.98222,1,0.995,0.8955,0.98222,1,0.995,0.82103,0.73984,1.05966,0.63866,1.37631,0.0004754,0.0004754,0.0004754
79,3312.86,0.55557,0.34065,0.43396,0.86664,0.98222,1,0.995,0.8955,0.98222,1,0.995,0.82103,0.73984,1.05966,0.63866,1.37631,0.0004556,0.0004556,0.0004556
80,3353.2,0.51711,0.39377,0.44769,0.90973,0.98293,1,0.995,0.8955,0.98293,1,0.995,0.8955,0.80605,1.10184,0.58658,1.44928,0.0004358,0.0004358,0.0004358
81,3394.19,0.56675,0.2472,0.43462,1.05789,0.98293,1,0.995,0.8955,0.98293,1,0.995,0.8955,0.80605,1.10184,0.58658,1.44928,0.000416,0.000416,0.000416
82,3434.55,0.67992,0.30212,0.51469,1.13381,0.9832,1,0.995,0.8955,0.9832,1,0.995,0.8955,0.80197,1.22427,0.61728,1.48698,0.0003962,0.0003962,0.0003962
83,3475.83,0.4613,0.21688,0.37615,0.88318,0.9832,1,0.995,0.8955,0.9832,1,0.995,0.8955,0.80197,1.22427,0.61728,1.48698,0.0003764,0.0003764,0.0003764
84,3516.51,0.20772,0.12878,0.31026,0.44829,0.98322,1,0.995,0.8955,0.98322,1,0.995,0.8955,0.81808,1.24202,0.71374,1.51494,0.0003566,0.0003566,0.0003566
85,3556.95,0.59006,0.407,0.50581,0.92307,0.98322,1,0.995,0.8955,0.98322,1,0.995,0.8955,0.81808,1.24202,0.71374,1.51494,0.0003368,0.0003368,0.0003368
86,3597.58,0.52699,0.20816,0.47386,0.80779,0.9832,1,0.995,0.8955,0.9832,1,0.995,0.84603,0.85524,1.23904,0.6902,1.55751,0.000317,0.000317,0.000317
87,3637.63,0.44514,0.32132,0.38977,0.84649,0.9832,1,0.995,0.8955,0.9832,1,0.995,0.84603,0.85524,1.23904,0.6902,1.55751,0.0002972,0.0002972,0.0002972
88,3677.94,0.45158,0.62706,0.43792,0.94677,0.98289,1,0.995,0.8955,0.98289,1,0.995,0.72205,0.78528,1.18312,0.63478,1.48621,0.0002774,0.0002774,0.0002774
